excel_row,allocation_seq,movement_class,source_category,allocation_amount,target_account_id,target_account_code,target_account_name,map_reason
183,1,payment,5.05.002 - Servicos em Clientes Contratos - Operacao,120.8,144,7.5.002,Servicos em Clientes Contratos - Operacao,explicit_code_map
184,1,payment,4.01.004 - Insumos - Outros,94.0,103,6.1.004,Insumos - Outros,explicit_code_map
185,1,payment,5.05.003 - Servicos Laboratoriais Terceirizados - Operacao,3118.27,145,7.5.003,Servicos Laboratoriais Terceirizados - Operacao,explicit_code_map
186,1,payment,5.02.003 - Combustivel - Operacao,1105.0,123,7.2.003,Combustivel - Operacao,explicit_code_map
187,1,payment,5.05.003 - Servicos Laboratoriais Terceirizados - Operacao,930.83,145,7.5.003,Servicos Laboratoriais Terceirizados - Operacao,explicit_code_map
188,1,transfer,Transferência de Saída,1526.29,,,,
189,1,payment,5.05.999 - Outros Custos Operacionais,800.0,149,7.5.007,Outros Custos Operacionais,explicit_code_map
190,1,payment,5.01.011 - Fardamento - Operacao,160.0,116,7.1.011,Fardamento - Operacao,explicit_code_map
191,1,payment,5.01.004 - Transporte - Operacao,11.99,109,7.1.004,Transporte - Operacao,explicit_code_map
192,1,payment,5.03.003 - Manutencao de Maqu/Equip - Operacao,275.0,133,7.3.003,Manutencao de Maqu/Equip - Operacao,explicit_code_map
193,1,receipt,3.05.001 - Juros de Aplicacao Financeira,0.28,84,3.03.001,Juros de Aplicacao Financeira,explicit_code_map
194,1,payment,5.02.003 - Combustivel - Operacao,980.46,123,7.2.003,Combustivel - Operacao,explicit_code_map
194,2,payment,5.01.003 - Alimentacao - Operacao,598.94,108,7.1.003,Alimentacao - Operacao,explicit_code_map
194,3,payment,5.01.004 - Transporte - Operacao,111.0,109,7.1.004,Transporte - Operacao,explicit_code_map
195,1,payment,8.02.001 - Compra de Equipamentos Operacionais,13800.0,207,9.2.001,Compra de Equipamentos Operacionais,explicit_code_map
196,1,receipt,3.01.001 - Receita de Serviços Prestados,19990.0,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
196,2,receipt,6.01.001 - Simples Nacional,999.5,93,4.01.001,Simples Nacional,explicit_code_map
197,1,receipt,3.01.001 - Receita de Serviços Prestados,5800.0,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
198,1,payment,5.01.012 - PJ - OPERACAO,1306.0,117,7.1.012,PJ - OPERACAO,explicit_code_map
199,1,payment,4.01.001 - Insumos - Quimicos,9281.89,100,6.1.001,Insumos - Quimicos,explicit_code_map
200,1,payment,5.05.999 - Outros Custos Operacionais,2040.0,149,7.5.007,Outros Custos Operacionais,explicit_code_map
201,1,payment,5.05.003 - Servicos Laboratoriais Terceirizados - Operacao,390.0,145,7.5.003,Servicos Laboratoriais Terceirizados - Operacao,explicit_code_map
202,1,payment,4.01.001 - Insumos - Quimicos,392.0,100,6.1.001,Insumos - Quimicos,explicit_code_map
203,1,payment,5.01.004 - Transporte - Operacao,27.12,109,7.1.004,Transporte - Operacao,explicit_code_map
204,1,receipt,3.01.001 - Receita de Serviços Prestados,8787.5,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
205,1,receipt,3.01.001 - Receita de Serviços Prestados,1169.86,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
206,1,receipt,3.01.001 - Receita de Serviços Prestados,2890.23,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
207,1,payment,4.01.004 - Insumos - Outros,235.11,103,6.1.004,Insumos - Outros,explicit_code_map
208,1,payment,5.01.004 - Transporte - Operacao,81.1,109,7.1.004,Transporte - Operacao,explicit_code_map
209,1,receipt,3.05.001 - Juros de Aplicacao Financeira,0.02,84,3.03.001,Juros de Aplicacao Financeira,explicit_code_map
210,1,payment,7.03.001 - Aluguel - Adm,1100.0,172,8.3.001,Aluguel - Adm,explicit_code_map
211,1,payment,7.03.011 - Honorarios Contabeis,1092.78,182,8.3.011,Honorarios Contabeis,explicit_code_map
212,1,payment,5.02.003 - Combustivel - Operacao,200.0,123,7.2.003,Combustivel - Operacao,explicit_code_map
213,1,payment,5.05.004 - Comunicacao Operacao,30.0,146,7.5.004,Comunicacao Operacao,explicit_code_map
214,1,receipt,3.05.001 - Juros de Aplicacao Financeira,2.38,84,3.03.001,Juros de Aplicacao Financeira,explicit_code_map
215,1,payment,4.01.001 - Insumos - Quimicos,410.93,100,6.1.001,Insumos - Quimicos,explicit_code_map
216,1,payment,8.02.001 - Compra de Equipamentos Operacionais,5195.7,207,9.2.001,Compra de Equipamentos Operacionais,explicit_code_map
217,1,payment,4.01.001 - Insumos - Quimicos,470.48,100,6.1.001,Insumos - Quimicos,explicit_code_map
218,1,payment,4.01.001 - Insumos - Quimicos,191.57,100,6.1.001,Insumos - Quimicos,explicit_code_map
219,1,payment,7.03.010 - Sistema de Informacao,815.24,181,8.3.010,Sistema de Informacao,explicit_code_map
220,1,payment,4.01.001 - Insumos - Quimicos,509.22,100,6.1.001,Insumos - Quimicos,explicit_code_map
221,1,payment,5.05.002 - Servicos em Clientes Contratos - Operacao,1000.0,144,7.5.002,Servicos em Clientes Contratos - Operacao,explicit_code_map
222,1,payment,5.03.003 - Manutencao de Maqu/Equip - Operacao,207.0,133,7.3.003,Manutencao de Maqu/Equip - Operacao,explicit_code_map
223,1,payment,5.01.004 - Transporte - Operacao,47.49,109,7.1.004,Transporte - Operacao,explicit_code_map
224,1,payment,5.02.003 - Combustivel - Operacao,315.5,123,7.2.003,Combustivel - Operacao,explicit_code_map
225,1,payment,6.01.001 - Simples Nacional,53826.29,93,4.01.001,Simples Nacional,explicit_code_map
226,1,payment,7.04.999 - Outras Despesas Tributarias,1288.97,189,8.4.002,Outras Despesas Tributarias,explicit_code_map
227,1,payment,7.03.011 - Honorarios Contabeis,822.5,182,8.3.011,Honorarios Contabeis,explicit_code_map
228,1,receipt,3.01.001 - Receita de Serviços Prestados,9600.13,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
229,1,payment,4.01.001 - Insumos - Quimicos,41156.11,100,6.1.001,Insumos - Quimicos,explicit_code_map
230,1,payment,4.01.001 - Insumos - Quimicos,360.0,100,6.1.001,Insumos - Quimicos,explicit_code_map
231,1,payment,5.01.005 - Saude - Operacao,174.0,110,7.1.005,Saude - Operacao,explicit_code_map
232,1,payment,5.01.004 - Transporte - Operacao,111.77,109,7.1.004,Transporte - Operacao,explicit_code_map
233,1,payment,5.02.003 - Combustivel - Operacao,100.0,123,7.2.003,Combustivel - Operacao,explicit_code_map
234,1,receipt,3.05.001 - Juros de Aplicacao Financeira,0.02,84,3.03.001,Juros de Aplicacao Financeira,explicit_code_map
235,1,receipt,3.02.001 - Receita de Venda de Mercadorias,3726.0,82,3.02.001,Receita de Vendas Mercadorias,explicit_code_map
236,1,receipt,3.02.001 - Receita de Venda de Mercadorias,1656.0,82,3.02.001,Receita de Vendas Mercadorias,explicit_code_map
237,1,receipt,3.01.001 - Receita de Serviços Prestados,21252.0,80,3.01.001,Receita de Serviços Prestados,explicit_code_map
237,2,receipt,6.01.001 - Simples Nacional,1062.6,93,4.01.001,Simples Nacional,explicit_code_map
238,1,payment,6.01.001 - Simples Nacional,2179.27,93,4.01.001,Simples Nacional,explicit_code_map
